"日期","上座率","场均人次","票房占比","电影ID","电影名字","已上映天数","排片场次","排片占比","当日票房","当日总出票","当日总场次","出品国家","电影类别1","电影类别2","电影类别3","电影评分","男性占比","女性占比","节假日"
"101","21.8%","26.7","25.6%","1458876","年会不能停！","上映4天","78767","17.2%","8494.87","806.5万","45.8万","中国
","喜剧","剧情",,"10","0.382 ","0.382 ",
"101","18.2%","21.0","19.3%","1331905","金手指","上映3天","70970","15.5%","6426.59","806.5万","45.8万","中国","剧情","犯罪",,"9","0.439 ","0.439 ",
"101","8.5%","12.9","17.1%","1461561","一闪一闪亮星星","上映3天","107688","23.5%","5698.34","806.5万","45.8万","中国
","爱情","奇幻",,"9","0.276 ","0.276 ",
"101","13.1%","14.1","11.3%","1207114","潜行","上映4天","66903","14.6%","3748.21","806.5万","45.8万","中国","剧情","犯罪","动作","9","0.439 ","0.439 ",
"101","18.7%","28.2","6.3%","1260081","海王2：失落的王国","上映13天","18430","4.0%","2104.91","806.5万","45.8万","美国
","动作","冒险","奇幻","9","0.490 ","0.490 ",
"101","18.8%","21.3","5.9%","1385865","三大队","上映18天","21321","4.6%","1956.8","806.5万","45.8万","中国
","剧情","犯罪",,"9","0.389 ","0.389 ",
"101","11.2%","10.2","3.5%","1463744","非诚勿扰3","上映3天","26956","5.8%","1163.24","806.5万","45.8万","中国
","喜剧","爱情",,"9","0.392 ","0.392 ",
"101","14.4%","14.3","3.3%","1431800","舒克贝塔·五角飞碟","上映3天","20626","4.5%","1099.36","806.5万","45.8万","中国
","动画","喜剧","冒险","9","0.261 ","0.261 ",
"101","10.1%","16.8","2.6%","1504098","泰勒·斯威夫特：时代巡回演唱会","上映2天","10355","2.2%","894.16","806.5万","45.8万","美国
","音乐","纪录片",,"10","0.312 ","0.312 ",
"101","19.5%","19.8","1.3%","1482315","名侦探柯南：黑铁的鱼影","上映17天","6657","1.4%","441.63","806.5万","45.8万","日本
","动画","悬疑","动作","9","0.456 ","0.456 ",
"101","12.2%","11.8","0.4%","1479147","照明商店","上映25天","3496","0.7%","164.57","806.5万","45.8万","中国
","剧情",,,"9","0.260 ","0.260 ",
"101","23.1%","24.6","0.2%","1413066","天降大任","点映","698","0.1%","79.04","806.5万","45.8万","中国
","喜剧","奇幻","冒险","9","0.240 ","0.240 ",
